id,type,created_timestamp,updated_timestamp,sub_type,status,sub_status,product_type,name_on_card,description,delivery_status,country,spending_limit,atm_limit,currency,account_iban,account_display_name,owner_user_id
56392,Credit,2017-11-15T07:11:34.472862,2021-03-20T11:20:32.955119,VISA,ACTIVE,PENDING,VISA_CREDIT,G. Smith,", For my future husband",IN_TRANSIT,US,2500.00,700.00,USD,US82CHAS4569115587,G. Smith,137
497656,Credit,2020-08-13T10:20:40.334476,2021-07-05T18:32:34.561870,VISA,ACTIVE,VERIFIED,VISA_CREDIT,John Smith,", Education",PHYSICAL_DELIVERY,US,3000.00,800.00,USD,US82BUNQ2076127854,J. Smith,388
6294532,Debit,2022-10-16T11:46:33.876345,2022-10-16T15:24:38.932425,VISA,ACTIVE,NONE,VISA_EXPRESS,Hm Foundation for Hope,Primary Card,NEW_CARD_ISSUED,BE,1500.00,750.00,EUR,BE68INGB8254858631,Foundation Hope for Hope,569
7893426,Credit,2023-04-05T14:03:45.067783,2023-05-09T12:03:46.425627,VISA,INACTIVE,NONE,VISA_CREDIT,Hm Helping Hands,", A.Smith CEO",DELIVERED_TO_CUSTOMER,US,1800.00,800.00,USD,US78WELLS5008675304,Trust Helping Hands,207
201955,Credit,2020-01-12T18:37:57.039916,2021-08-15T05:00:04.396196,VISA,ACTIVE,NEW,VISA_CREDIT,S. Johnson,first 500,IN_PROCESS,US,5000.00,750.00,USD,US34BANC3012546872,S. Johnson,282
520361,Debit,2021-07-15T12:45:50.326789,2021-09-21T18:30:47.892563,VISA,INACTIVE,PENDING,VISA_BLACK,John Doe,Personal Card,PENDING,US,100000.00,1000.00,USD,US98BANK2025478921,J. Doe,388
2738982,Credit,2019-05-12T11:26:15.935450,2019-08-17T09:58:27.647895,VISA,ACTIVE,NONE,VISA_CREDIT,John Doe,Travel,PHYSICAL_DELIVERY,US,3000.00,700.00,USD,US82WING3457298357,J. Doe,282
3520002,Credit,2021-11-19T10:05:15.908909,2021-11-19T10:05:15.908909,VISA,ACTIVATED,ACTIVE,VISA_CREDIT,Edison Inc.,Business Account,PHYSICAL_DELIVERY,US,2000.00,1000.00,USD,US03CITI2056711234,New Banker,771
5286241,Credit,2022-12-12T18:35:22.304088,2022-12-18T11:24:54.183883,VISA,INACTIVE,BLOCKED,VISA_CREDIT,Mankind for Life,", M4L Project Manager 3",DELIVERY_IN_PROGRESS,GE,2000.00,1500.00,USD,GE89NBNA3089428062,Foundation Mankind for Life,282
88,Credit,2017-05-15T10:34:26.345123,2020-02-20T15:30:35.129874,VISA,ACTIVE,ISSUED,VISA_CREDIT,John Doe,", abc123",CARD_UPDATE_PENDING,US,5000.00,1000.00,USD,US123USDBANK20202020,J. Doe,282
56897,Credit,2017-11-20T18:59:23.829041,2019-12-12T21:56:39.128891,VISA,ACTIVE,SUSPENDED,VISA_CREDIT,John Doe,Personal Account,IN_DELIVERY_PROCESS,US,3000.00,600.00,USD,US78JPMG2025193374,J. Doe,137
