AccountID,created_timestamp,updated_timestamp,AccountDescription,AccountType,AccountStatus,AccountSubstatus,AccountCurrency,AccountBalance,SavingsGoal,ContactDisplayName,IBAN,owner_user_id
5692,2019-05-07T12:45:30.721540,2020-03-01T14:20:15.513202,Jaden my savior,MonetaryAccountSavings,ACTIVE,TEMPORARY,USD,500.00,10000.00,B. Sommers,US67MNYC2036157743,771
793085,2018-11-07T20:10:20.923012,2019-01-05T23:54:30.723501,Chase Manhattan,SavingsAccountBank,ACTIVE,TEMPORARY,USD,500.00,10000.00,B. Sorenson,US30CHASE2310690876,334
4879632,2018-07-17T10:32:05.876503,2021-04-15T18:35:11.664730,Retirement,MonetaryAccountSavings,ACTIVE,TEMPORARY,USD,10000.00,20000,B. Johnson,US83ABCN1047839024,771
9456781,2024-12-12T14:07:43.014588,2024-12-12T14:07:43.014588,Payment for John and Peter,MonetaryAccountBank,INACTIVE,NONE,USD,8641.22,,J. Smith,US45BNK3099274112,334
5217049,2023-02-10T15:45:25.275853,2023-02-28T09:04:30.560175,Secondaire rekening,MonetaryAccountSavings,PENDING,PENDING_APPROVAL,USD,350500.65,500000.00,Organisatie We for We,US45BCUN7070459182,558
257,2017-05-14T16:25:08.567643,2021-06-20T10:35:45.334521,Secondary Account,MonetaryAccountSaving,INACTIVE,SUSPENDED,USD,722.65,5000,J. Smith,US82HSBC2025678934,102
672501,2019-05-10T16:42:29.382835,2020-07-18T11:39:33.256142,Freelancer,MonetaryAccountSavings,ACTIVE,TEMPORARY,USD,1000.00,5000.00,Z. Jones,US22WFBI1287391267,336
5874120,2022-02-15T14:20:21.551732,2024-02-01T05:30:24.875512,Pro-kraak,MonetaryAccountSaving,ACTIVE,TEMPORARY,USD,500.00,10000,B. Samson,US30CHAS3098245628,102
6253449,2022-09-08T18:31:45.174560,2023-02-16T13:12:18.205960,Maximilian,MonetaryAccountBusiness,ACTIVE,TEMPORARY,USD,1500.00,10000.00,B. Rothschild,US74CHASE2357834902,207
241893,2018-07-15T13:17:44.346522,2022-04-20T16:20:18.444326,yuno account,FiscalAccountBank,INACTIVE,DEFAULT,USD,78945.35,100000.00,Quantum Physics Pty. Ltd.,US67YUNO2280075829,282
2394832,2019-06-08T14:52:23.423113,2022-03-02T12:01:17.123951,Belladonna,MonetaryAccountBank,ACTIVE,NONE,USD,831.46,,Foundation Belladonna,US39CUNQ3746822738,207
4896,2017-06-22T17:26:44.890412,2021-10-02T11:43:22.788301,RV pot,MonetaryAccountSavings,INACTIVE,LIMIT_REACHED,USD,24035.56,For future endeavours,B. Sharma,US98BNK2045173902,334
492351,2019-09-15T12:23:10.763541,2020-06-25T14:38:45.734251,Utilities,MonetaryAccountSavings,ACTIVE,TEMPORARY,USD,100.00,1500,R. Williams,US43NIBH1234567890,282
786234,2020-05-10T15:01:20.998204,2021-03-14T08:10:10.902345,Hello,MonetaryAccountSavings,ACTIVE,TEMPORARY,USD,100.00,5000.00,B. Johnson,US38CHAS9918576435,771
874395,2018-06-15T19:32:51.291571,2018-08-21T22:45:06.318356,Mountain retreat,MonetaryAccountInvestment,ACTIVE,TEMPORARY,USD,500.00,1000.00,B. Johnson,US12WELB2398517481,336
106750,2019-03-15T14:45:39.296781,2019-12-30T11:11:23.392678,December Celebration fund 2019v3,MonetaryAccountMulti,ACTIVE,TEMPORARY,GBP,200.50,1000.00,B. Johnson & P. Williams & M. Smith & E.M. Black & T.C. Brown & R.L. Jackson & J. Harris & K.J. Miller DF,GB88BUNQ2219876342,207
5598209,2022-03-23T11:20:50.752345,2022-03-23T14:45:10.102634,Secondary,MonetaryAccountSavings,ACTIVE,NONE,GBP,219985.22,Education,Edison LTD.,GB35MIDL2043706433,207
4821627,2021-03-20T18:02:04.079302,2021-04-07T13:15:07.896665,Samuel's monetary fund 💰,MonetaryAccountBank,ACTIVE,NONE,USD,3204.50,,L.J. Rhodes,US07BANK2057891895,336
5893,2017-03-11T11:23:32.759824,2020-04-05T15:04:37.859346,Holiday Savings,PersonalAccountBank,ACTIVE,TEMPORARY,USD,1000.00,1500.00,P. Johnson,US56BUKQ3569113279,137
