event_id,transaction_description,transaction_type,iban,counterparty_name,counterparty_iban,amount,currency,transaction_subtype,monetary_account_id,updated_timestamp,place_name,place_address,category,geolocation_latitude,geolocation_longitude,geolocation_altitude,geolocation_radius,user_type,merchant_category_code,tags,opening_periods,number_of_recommendation_total,url_google_maps,city,country,event_type,inner_id,owner_user_id,recommendations_category.PENDING,recommendations_category.SKIPPED,recommendations_category.NOT_RECOMMENDED,recommendations_category.RECOMMENDED_UNCATEGORIZED,recommendations_category.RECOMMENDED_FOR_BUSINESS,recommendations_category.RECOMMENDED_FOR_FAMILY,recommendations_category.RECOMMENDED_FOR_DATE,recommendations_category.RECOMMENDED_FOR_MYSELF,recommendations_category.RECOMMENDED_FOR_FRIENDS,categories_friends.PENDING,categories_friends.SKIPPED,categories_friends.NOT_RECOMMENDED,categories_friends.RECOMMENDED_UNCATEGORIZED,categories_friends.RECOMMENDED_FOR_BUSINESS,categories_friends.RECOMMENDED_FOR_FAMILY,categories_friends.RECOMMENDED_FOR_DATE,categories_friends.RECOMMENDED_FOR_MYSELF,categories_friends.RECOMMENDED_FOR_FRIENDS,opening_periods.monday,opening_periods.tuesday,opening_periods.wednesday,opening_periods.thursday,opening_periods.friday,opening_periods.saturday,opening_periods.sunday,opening_periods.open,opening_periods.close,recommendations_category.  PENDING,recommendations_category.  SKIPPED,recommendations_category.  NOT_RECOMMENDED,recommendations_category.  RECOMMENDED_UNCATEGORIZED,recommendations_category.  RECOMMENDED_FOR_BUSINESS,recommendations_category.  RECOMMENDED_FOR_FAMILY,recommendations_category.  RECOMMENDED_FOR_DATE,recommendations_category.  RECOMMENDED_FOR_MYSELF,recommendations_category.  RECOMMENDED_FOR_FRIENDS,categories_friends.  PENDING,categories_friends.  SKIPPED,categories_friends.  NOT_RECOMMENDED,categories_friends.  RECOMMENDED_UNCATEGORIZED,categories_friends.  RECOMMENDED_FOR_BUSINESS,categories_friends.  RECOMMENDED_FOR_FAMILY,categories_friends.  RECOMMENDED_FOR_DATE,categories_friends.  RECOMMENDED_FOR_MYSELF,categories_friends.  RECOMMENDED_FOR_FRIENDS,.transaction_subtype,recommendations_category.   PENDING,recommendations_category.   SKIPPED,recommendations_category.   NOT_RECOMMENDED,recommendations_category.   RECOMMENDED_UNCATEGORIZED,recommendations_category.   RECOMMENDED_FOR_BUSINESS,recommendations_category.   RECOMMENDED_FOR_FAMILY,recommendations_category.   RECOMMENDED_FOR_DATE,recommendations_category.   RECOMMENDED_FOR_MYSELF,recommendations_category.   RECOMMENDED_FOR_FRIENDS,categories_friends.   PENDING,categories_friends.   SKIPPED,categories_friends.   NOT_RECOMMENDED,categories_friends.   RECOMMENDED_UNCATEGORIZED,categories_friends.   RECOMMENDED_FOR_BUSINESS,categories_friends.   RECOMMENDED_FOR_FAMILY,categories_friends.   RECOMMENDED_FOR_DATE,categories_friends.   RECOMMENDED_FOR_MYSELF,categories_friends.   RECOMMENDED_FOR_FRIENDS,opening_periods.weekdays,opening_periods.weekend,recommendations_category.PENDIND,categories_friends.RECOMMDED_FOR_FRIENDS,recommendations_category.SKIIPPED,categories_friends.SKIIPPED,recommendations_category.    PENDING,recommendations_category.    SKIPPED,recommendations_category.    NOT_RECOMMENDED,recommendations_category.    RECOMMENDED_UNCATEGORIZED,recommendations_category.    RECOMMENDED_FOR_BUSINESS,recommendations_category.    RECOMMENDED_FOR_FAMILY,recommendations_category.    RECOMMENDED_FOR_DATE,recommendations_category.    RECOMMENDED_FOR_MYSELF,recommendations_category.    RECOMMENDED_FOR_FRIENDS,categories_friends.    PENDING,categories_friends.    SKIPPED,categories_friends.    NOT_RECOMMENDED,categories_friends.    RECOMMENDED_UNCATEGORIZED,categories_friends.    RECOMMENDED_FOR_BUSINESS,categories_friends.    RECOMMENDED_FOR_FAMILY,categories_friends.    RECOMMENDED_FOR_DATE,categories_friends.    RECOMMENDED_FOR_MYSELF,categories_friends.    RECOMMENDED_FOR_FRIENDS,number_of_recommendations_total,transaction_subnetype,categories_friends.RECOMMENDED_FOR_M YSELF,counterparty_ibank,recommendations_category.RECOMMANDED_UNCATEGORIZED,opening_periods.Monday,opening_periods.Tuesday,opening_periods.Wednesday,opening_periods.Thursday,opening_periods.Friday,opening_periods.Saturday,opening_periods.Sunday,recommendations_category.PENDIN,recommendations_category.     PENDING,recommendations_category.     SKIPPED,recommendations_category.     NOT_RECOMMENDED,recommendations_category.     RECOMMENDED_UNCATEGORIZED,recommendations_category.     RECOMMENDED_FOR_BUSINESS,recommendations_category.     RECOMMENDED_FOR_FAMILY,recommendations_category.     RECOMMENDED_FOR_DATE,recommendations_category.     RECOMMENDED_FOR_MYSELF,recommendations_category.     RECOMMENDED_FOR_FRIENDS,categories_friends.     PENDING,categories_friends.     SKIPPED,categories_friends.     NOT_RECOMMENDED,categories_friends.     RECOMMENDED_UNCATEGORIZED,categories_friends.     RECOMMENDED_FOR_BUSINESS,categories_friends.     RECOMMENDED_FOR_FAMILY,categories_friends.     RECOMMENDED_FOR_DATE,categories_friends.     RECOMMENDED_FOR_MYSELF,categories_friends.     RECOMMENDED_FOR_FRIENDS,categories_friends. RECOMMENDED_FOR_BUSINESS,eventType,counterparty_ibn,country_normalized
452,Buy the ticket now. It's on sale for 1 cent,IDEAL,DE45BUNQ2033225611,Hans Mueller,DE67BUNQ2033225782,-0.01,EUR,WITHDRAWAL,258,2016-09-30T16:30:15.367981,,,TRAVEL,,,,,COMPANY,,,,,,,,Payment,431,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991,Coffee Break here :D,PAYMENT,FR94AJEFC345678,George Winston,UK76BJHFC826715,5.0,EUR,PAYMENT,367,2021-06-15T13:52:32.754321,Moonlight Cafe,"34 Baker Street, London",FOOD_AND_DRINK,51.514,-0.159,,,PERSON,,"Cafe, Drinks",,56.0,https://goo.gl/maps/ew3Ef43,London,UK,Payment,678,282,0.0,0.0,8.0,0.0,20.0,15.0,5.0,5.0,3.0,[],[],"[['Jerry Smith', 'PERSON', 3, '23456'], ['Paul Johnson', 'PERSON', 5, '98765']]",[],"[['Tom Ford', 'PERSON', 6, '34567']]",[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Kingdom
7642,"IDEAL: PIZZA BOB'S ROTTERDAM, NL
",IDEAL,DE91BUNQ1038246871,PIZZA BOB'S,,-27.5,EUR,PAYMENT,295,2016-07-15T13:05:32.198746,,,FOOD_AND_DRINK,,,,,COMPANY,5814,"pizza, restaurant",,,,,,iDEALPayment,,558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3494,Payment request from M. Williams (Marry) to J.P. Clarkson (John),PAYMENT,GB86BUNQ4105103201,John Peter Clarkson,GB39BUNQ4105104319,100.25,GBP,REQUEST,315,2018-07-15T17:12:00.113487,,,TRANSFER,,,,,PERSON,,,,,,,,RequestInquiry,899,334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7589,"Money transfer from J. Kowalski (Jan) to M. Müller (Max) with description LOCAL PRIME BUTCHER BERLIN, DE.",BUNQ,DE85BUNQ1098765432,Maximilian Friedrich Müller,DE43BUNQ1122334455,45.2,EUR,PAYMENT,289,2018-04-12T10:45:23.945784,,,FOOD_AND_DRINK,,,,,PERSON,,,,,,,,PaymentSent,892,569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4510,"IDEAL: Starbucks LONDON, UK
",IDEAL,UK29BUNQ3079265410,Starbucks Coffee,,-20.75,GBP,CARD PAYMENT,205,2021-12-14T18:31:34.764922,,,FOOD_AND_DRINK,,,,,COMPANY,5814,"cafe, restaurant",,,,London,UK,iDealAction,,336,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,[],"[['John Doe', 'PERSON', 1, 'UUID_001']]",[],[],"[['Jane Smith', 'PERSON', 2, 'UUID_002']]",[],[],"[['James Johnson', 'PERSON', 1, 'UUID_003']]","[['Lisa Brown', 'PERSON', 1, 'UUID_004']]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Kingdom
4671,Invoice: 77,IDEAL,DE82BUNQ2082882922,fintech PTE Ltd,,-1.23,GBP,BILLING,236,2016-10-03T06:15:03.725191,,,FINANCE,,,,,COMPANY,,,,,,,,Invoice,,771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7523,"PAYMENT: The Brew Lounge NEW YORK, USA
",PAYMENT,US34BUNC3042128492,The Brew Lounge,,-20.0,USD,WITHDRAWAL,237,2017-06-15T14:30:27.823434,,,FOOD_AND_DRINK,,,,,COMPANY,5499,"bar, cafe, lounge",,,,,,Payment,,388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5263,Pull it,IDEAL,DE21MNBG1010110293,Samantha White,DE31MNBG1010110386,0.05,USD,WITHDRAWAL,276,2018-12-12T12:34:56.789012,,,OFFICE_SUPPLIES,,,,,COMPANY,,,,,,,,Payment,6789,207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7589,Receipt: 201,TRANSFER PAYMENT,FL81BUNQ4592864592,bunq Corp,,-0.45,USD,BILLING,256,2021-05-02T14:25:15.800020,,,RENT_AND_UTILITIES,,,,,COMPANY,,,,,,,,Receipt,,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
